year;code;name;amount;policy
2020;454M;Regulación y seguridad del tráfico marítimo;41.175,19;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;454O;Comisión de Investigación de Accidentes e Incidentes Marítimos;584,67;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;455M;Regulación y supervisión de la aviación civil;86.529,50;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;455O;Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;1.468,08;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;467B;Investigación, desarrollo y experimentación en transporte e infraestructuras;960,00;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;467G;Investigación y desarrollo de la Sociedad de la Información;980,00;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;491N;Servicio postal universal;120.790,00;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
2020;495A;Desarrollo y aplicación de la información geográfica española;35.354,77;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
2020;497M;Salvamento y lucha contra la contaminación en la mar;152.535,00;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
2020;000X;Transferencias internas (Sección: 17 MINISTERIO DE FOMENTO);33.184,24;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
2020;144B;Cooperación, promoción y difusión educativa en el exterior;11.265,21;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2020;321M;Dirección y Servicios Generales de Educación y Formación Profesional;49.793,09;32. EDUCACIÓN
2020;321N;Formación permanente del profesorado de Educación;2.703,21;32. EDUCACIÓN
2020;322A;Educación Infantil y Primaria;155.723,77;32. EDUCACIÓN
2020;322B;Educación Secundaria, Formación Profesional y Escuelas Oficiales de Idiomas;419.165,71;32. EDUCACIÓN
2020;322E;Enseñanzas artísticas;3.563,34;32. EDUCACIÓN
2020;322F;Educación en el exterior;97.568,47;32. EDUCACIÓN
2020;322G;Educación compensatoria;4.536,50;32. EDUCACIÓN
2020;322L;Inversiones en centros educativos y otras actividades educativas;84.395,72;32. EDUCACIÓN
2020;323M;Becas y ayudas a estudiantes;1.534.945,14;32. EDUCACIÓN
2020;463A;Investigación científica;278,03;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;000X;Transferencias internas (Sección: 18 MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL);16.107,06;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;143A;Cooperación para el desarrollo;1.573,43;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2020;212M;Pensiones no contributivas y prestaciones asistenciales;8.198,17;21. PENSIONES
2020;223M;Prestaciones de garantía salarial;796.411,04;22. OTRAS PRESTACIONES ECONÓMICAS
2020;224M;Prestaciones económicas por cese de actividad;15.219,60;22. OTRAS PRESTACIONES ECONÓMICAS
2020;231B;Acciones en favor de los emigrantes;59.367,42;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
2020;231H;Acciones en favor de los inmigrantes;318.095,34;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
2020;241A;Fomento de la inserción y estabilidad laboral;3.373.563,39;24. FOMENTO DEL EMPLEO
2020;241B;Formación Profesional para el Empleo;2.331.231,86;24. FOMENTO DEL EMPLEO
2020;241N;Desarrollo del trabajo autónomo, de la economía social y de la responsabilidad social de las empresas;11.164,66;24. FOMENTO DEL EMPLEO
2020;251M;Prestaciones a los desempleados;17.702.180,62;25. DESEMPLEO
2020;291A;Inspección y control de Seguridad y Protección Social;145.799,38;29. GESTIÓN Y ADMINISTRACIÓN DE LA INCLUSIÓN, DE LA SEGURIDAD SOCIAL Y DE LA MIGRACIÓN
2020;291M;Dirección y Servicios Generales de Seguridad Social y Protección Social;13.946.347,00;29. GESTIÓN Y ADMINISTRACIÓN DE LA INCLUSIÓN, DE LA SEGURIDAD SOCIAL Y DE LA MIGRACIÓN
2020;494M;Administración de las relaciones laborales y condiciones de trabajo;52.790,01;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
2020;912P;Asesoramiento del Gobierno en materia social, económica y laboral;8.040,41;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2020;000X;Transferencias internas (Sección: 19 MINISTERIO DE TRABAJO, MIGRACIONES Y SEGURIDAD SOCIAL);13.472.051,57;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2020;421M;Dirección y Servicios Generales de Industria, Comercio y Turismo;69.259,09;42. INDUSTRIA Y ENERGÍA
